country,city,iata_code
"China, P.R.",Shenzhen Bao'an,SZX
"China, P.R.",Shijiazhuang,SJW
"China, P.R.",Tianjin Binhai,TSN
"China, P.R.",Taiyuan,TYN
"China, P.R.",Urumchi Diwopu,URC
"China, P.R.",Wuhan Tianhe,WUH
"China, P.R.",Xi’an Xianyang ,XIY
"China, P.R.",Xiamen Gaoqi,XMN
"China, P.R.",Zhengzhou,CGO
"China, P.R.",Zhuhai,ZUH
Chinese Taipei,Kaohsiung,KHH
Chinese Taipei,Taipei,TPE
"Hong Kong (SAR), China",Hong Kong,HKG
"Macau (SAR), China",Macau,MFM
Bermuda,Bermuda,BDA
Brazil,Aeroporto Internacional de Belém,BEL
Brazil,Aeroporto Internacional De Brasília ,BSB
Brazil,Aeroporto Internacional De Campinas - Viracopos ,VCP
Brazil,Aeroporto Internacional Tancredo Neves ,CNF
Brazil,Florianopolis,FLN
Brazil,Fortaleza,FOR
Brazil,Aeroporto Internacional de Manaus,MAO
Brazil,Porto Alegre,POA
Brazil,Recife,REC
Brazil,Rio de Janeiro,GIG
Brazil,Rio de Janeiro,SDU
Brazil,Salvador,SSA
Brazil,Sao Paulo,GRU
Brazil,Sao Paulo,CGH
Brazil,Viracopos,VCP
Brazil,Campinas,VCP
Canada,Calgary,YYC
Canada,Montreal,YUL
Canada,Quebec,YQB
Canada,Toronto,YTZ
Canada,Toronto,YYZ
Canada,Vancouver,YVR
Cayman Islands,Grand Cayman,GCM
Colombia,Bogota,BOG
Cuba,Havana,HAV
Cuba,Holguin,HOG
Cuba,Santa Clara,SNU
Cuba,Varadero,VRA
Dominican Republic,Santo Domingo,SDQ
France (Overseas),Saint Barthélemy,SBH
Mexico,Mexico City,MEX
Mexico,Cancun International Airport ,CUN
Peru,Lima,LIM
Turks & Caicos Islands,Providenciales International Airport ,PLS
United States,Atlanta,ATL
United States,Austin,AUS
United States,Boston,BOS
United States,Chicago-O' Hare,ORD
United States,Dallas,DWF
United States,Denver,DEN
United States,Los Angeles,LAX
United States,Miami,MIA
United States,New York-J.F. Kennedy,JFK
United States,Newark,EWR
United States,Orlando,MCO
United States,San Diego International Airport,SAN
United States,San Francisco,SFO
United States,Seattle-Tacoma International Airport,SEA
United States,Washington Dulles International Airport,IAD
